nama_pengurus,nama_bank_sampah,alamat_bank_sampah,kecamatan,kelurahan,email,status
Widodo,RW. 01/4 Tanah Sereal,"Jalan Pekapuran VIII, Jl. Pekapuran VIII, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Tanah Sereal,bsurw001keltanahsereal@gmail.com,Aktif
Hendri,RW. 02/4 Tanah Sereal,"Jalan Pekapuran V, Jl. Pekapuran V, Tanah Sereal, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11210, Indonesia",Tambora,Tanah Sereal,bsurw002keltanahsereal@gmail.com,Aktif
Mursan,JAGA02,"6°10'35.5'S 106°44'13.1'E, Jl. Mesjid At-Taqwa No.72, Kembangan Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",Kembangan,Kembangan Utara,bankterate94@gmail.com,Aktif
Suparno,Kenanga 7,"Bank sampah kenanga, Jl. Basmol Raya, RT.8/RW.4, Kembangan Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",Kembangan,Kembangan Utara,bankkenanga7@gmail.com,Aktif
Saidih,Teratai 10,"6°10'03.0'S 106°45'06.4'E, Jl. Kp. Baru No.15, Kembangan Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",Kembangan,Kembangan Utara,bankteratai10@gmail.com,Aktif
Ibu Umi,Bank Sampah Gaga Dahlia,"Jalan Kp. Gaga, Jalan Kp. Gaga, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850, Indonesia",Kalideres,Semanan,umi878460@gmail.com,Aktif
Bagus Kurniawan,Bank Sampah Buncis Maja,"Pegadungan, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kalideres,Pegadungan,baguskurniawanaprianto@gmail.com,Aktif
Ibu Pariem,Bank Sampah Bersinar,"Jl. Semanan Raya No.55, Jl. Semanan Raya No.55, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850, Indonesia",Kalideres,Semanan,afianisanti5@gmail.com,Aktif
Pak Soleh,Bank Sampah BMW,"Jalan Raya Semanan, Jl. Raya Semanan, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850, Indonesia",Kalideres,Semanan,ramayantisinambela12@gmail.com,Aktif
Bpk. Nawawi,BS Duri Indah RT 03 RW 01,"Jalan Gaga, Jl. Gaga, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850, Indonesia",Kalideres,Semanan,nurhikmahagus@gmail.com,Aktif
Pak Sumiyono,Bank Sampah Mawar,"Komplek Kodam Jaya Kalideres, Jalan Raya Daan Mogot, RW. 05, Asoka 1, RT.2/RW.4, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840, Indonesia",Kalideres,Kalideres,engkongtaryudi51@gmail.com,Aktif
Pak Ajat,Bank Sampah Asoy,"Jalan Bulak Sere, Jl. Bulak Sere, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Pegadungan,mulanadedeule@gmail.com,Aktif
Pak Dedy,Bank Sampah Puja Sera,"Pegadungan, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kalideres,Pegadungan,bs.pujasera11@gmail.com,Aktif
Pak Rudy,Bank Sampah RW.02 Citra Exstension,"Jalan Citra Dua Extension, Jl. Citra Dua Extension, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kalideres,Pegadungan,bs.citraexstension@gmail.com,Aktif
Pak Santo,Bank Sampah Palem Raya 2,"Pegadungan, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kalideres,Pegadungan,bs.palemraya@gmail.com,Aktif
Lilik Susilowati,Anggrek,"6°13'14.1'S 106°43'14.4'E, Jl. Moneter No.47, Joglo, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640, Indonesia",Kembangan,Joglo,lhya.hamid@gmail.com,Pending
Khoirin,RW.03/4,"Jalan Pekapuran Raya, Jl. Pekapuran Raya, Tanah Sereal, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11210, Indonesia",Tambora,Tanah Sereal,bsurw003keltanahsereal@gmail.com,Aktif
Ela,RW.04/4,"Jalan Pekapuran III, Jl. Pekapuran III, Tanah Sereal, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11210, Indonesia",Tambora,Tanah Sereal,bsurw004keltanahsereal@gmail.com,Aktif
F.X. Yulianto,Delima,"6°12'55.1'S 106°45'32.0'E, Jl. Komp.Migas 41 No.51A, Srengseng, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11630, Indonesia",Kembangan,Srengseng,agoezuzu@yahoo.com,Pending
Beni Gunawan,RW.05/4,"Jalan Pekapuran II, Jl. Pekapuran II, Tanah Sereal, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Tanah Sereal,bsurw005keltanahsereal@gmail.com,Aktif
Sa'ad,RW.06/4,"Jalan Tanah Sereal XVIII, Jl. Tanah Sereal XVIII, Tanah Sereal, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11210, Indonesia",Tambora,Tanah Sereal,bsurw006keltanahsereal@gmail.com,Aktif
Nur Cahyo,RW.07/4,"Jalan Tanah Sereal, Jl. Tanah Sereal, Tanah Sereal, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Tanah Sereal,bsurw007keltanahsereal@gmail.com,Aktif
Tantowi,RW.08/4,"Jalan Tanah Sereal I, Jl. Tanah Sereal I, Tanah Sereal, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11210, Indonesia",Tambora,Tanah Sereal,bsurw008keltanahsereal@gmail.com,Aktif
Hendra,RW.09/4,"Jalan Tanah Sereal XIV, Jl. Tanah Sereal XIV, Tanah Sereal, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11210, Indonesia",Tambora,Tanah Sereal,bsurw009keltanahsereal@gmail.com,Aktif
H. Ridwan,RW.010/4,"Jalan Tanah Sereal XIV, Jl. Tanah Sereal XIV, Tanah Sereal, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11210, Indonesia",Tambora,Tanah Sereal,bsurw010keltanahsereal@gmail.com,Aktif
Rosyid,011/4,"Jalan Tanah Sereal X, Jl. Tanah Sereal X, Tanah Sereal, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Tanah Sereal,bsurw011keltanahsereal@gmail.com,Aktif
H. Heri,RW.012/4,"Jalan Tanah Sereal VII, Jl. Tanah Sereal VII, Tanah Sereal, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Tanah Sereal,bsurw012keltanahsereal@gmail.com,Aktif
Henda,RW.013/4,"Jalan Tanah Sereal VI, Jl. Tanah Sereal VI, Tanah Sereal, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11210, Indonesia",Tambora,Tanah Sereal,bsurw013keltanahsereal@gmail.com,Aktif
Dedi,RW.014/4,"Jalan Tanah Sereal I, Jl. Tanah Sereal I, Tanah Sereal, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11210, Indonesia",Tambora,Tanah Sereal,bsurw014keltanahsereal@gmail.com,Aktif
Habib Asegaf,RW.015/4,"Jalan Hanura Raya, Jl. Hanura Raya, Krukut, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tamansari,Tanah Sereal,bsurw015keltanahsereal@gmail.com,Aktif
Bpk. Egar,Bank Sampah Mawar 03,"Jalan Kamal Raya, Jl. Kamal Raya, Tegal Alur, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820, Indonesia",Kalideres,Kamal,bs.mawar03@gmail.com,Aktif
Bpk. Suladin,Bs. Bulak Sereh,"Jalan Bulak Sere, Jl. Bulak Sere, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Pegadungan,bs.bulaksereh@gmail.com,Aktif
Bpk. H. Mudini,Bank Sampah Block C Rw. 19,"Pegadungan, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kalideres,Pegadungan,bs.blokc19@gmail.com,Aktif
Saunah,BUNCIS,"Meruya Utara, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kembangan,Meruya Utara,bs.buncis@gmail.com,Aktif
Asmawi,Rw 11,"Jalan Meruya Utara, Jl. Meruya Utara, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kembangan,Meruya Utara,bs.asmawi11@gmail.com,Aktif
Matsani,PLETOK RW 10,"Jalan Meruya Utara, Jl. Meruya Utara, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kembangan,Meruya Utara,bs.pletok10@gmail.com,Aktif
Khairul Fahmi,NUSA INDAH 03,"Meruya Utara, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kembangan,Meruya Utara,bs.nusaindah03@gmail.com,Aktif
Alvin,ABI JAYA 01,"Meruya Utara, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kembangan,Meruya Utara,bs.abijaya01@gmail.com,Aktif
Bpk. Holil,Bank Sampah Mandiri,"Semanan, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kalideres,Semanan,banksampahmandiri06@gmail.com,Aktif
Taufiq,Kedoya Elok RW.04,"Jalan Panjang, Jl. Panjang, Kedoya Sel., Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kb. Jeruk,Kedoya Selatan,rw04kedoyaelok@gmail.com,Aktif
Nunung,Satria rw.06 Kelurahan Kebon Jeruk,"Jalan Kebon Jeruk Raya, Jl. Kb. Jeruk Raya, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kb. Jeruk,Kebon Jeruk,bssatria06@gmail.com,Aktif
Widyatmoko,SEHATI 3,"Taman Aries, Jalan Aries Utama, RT. 1 / RW. 9, Meruya Utara, Kembangan, RT.1/RW.9, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620, Indonesia",Kembangan,Meruya Utara,bs.sehati3@gmail.com,Aktif
Widyatmoko,SEHATI 2,"Taman Aries, Jalan Aries Utama, RT. 1 / RW. 9, Meruya Utara, Kembangan, RT.1/RW.9, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620, Indonesia",Kembangan,Meruya Utara,bs.sehati2@gmail.com,Aktif
Sastraningrat,Sinergi 33,"Jalan Duri Selatan VIII, Jl. Duri Selatan VIII, Duri Sel., Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11270, Indonesia",Tambora,Duri Selatan,kelurahan_duriselatan@yahoo.com,Aktif
Sarmudi,Kopilas,"Jalan Joglo Raya, Jl. Joglo Raya, Joglo, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kembangan,Joglo,kopilas743@gmail.com,Pending
Keman,Subur,"Jalan Joglo Raya, Jl. Joglo Raya, Joglo, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kembangan,Joglo,banksampahsubur@gmail.com,Pending
Ida Chairani,Sawarna,"Jalan Joglo Raya, Jl. Joglo Raya, Joglo, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kembangan,Joglo,banksampahsawarna@mail.com,Pending
Ibu Murtiningsih,Bank Sampah Mentari,"Jalan Kamal Raya, Jl. Kamal Raya, Prepedan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820, Indonesia",Kalideres,Kamal,dediparyanto26@gmail.com,Aktif
Eddy,Jaya Baya,"Jalan Tambora III, Jl. Tambora III, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11220, Indonesia",Tambora,Tambora,jayabayarw6@gmail.com,Aktif
H. Chotib,Maju Jaya,"Jalan Tambora II, Jl. Tambora II, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11220, Indonesia",Tambora,Tambora,majujayarw3@gmail.com,Aktif
Ninthia Eriyano,Kampung Deret,"Jalan Tambora, Jl. Tambora, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11220, Indonesia",Tambora,Tambora,kampungderetrw04@gmail.com,Aktif
Karyadi,Bening,"Taman Interaktif RW 05, RT 005/RW 05 Barar, Jl. Kota Bambu Utara V, RT.3/RW.5, Kota Bambu Utara, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",Palmerah,Kota Bambu Utara,Bening29@yahoo.com,Aktif
Agustiar,Kenanga,"Pondok Bandung Kota Bambu Utara, Jl. Kota Bambu Utara I, RT.3/RW.2, Kota Bambu Utara, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",Palmerah,Kota Bambu Utara,Kenanga@gmail.com,Aktif
Jenta Prakasa,Cempaka,"Jalan Katalia I Timur, Jl. Katalia I Timur, Kota Bambu Utara, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",Palmerah,Kota Bambu Utara,Cempaka@yahoo.com,Aktif
Aminudin,Melati,"Jalan Kota Bambu Utara IV, Jl. Kota Bambu Utara IV, Kota Bambu Utara, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",Palmerah,Kota Bambu Utara,Melati@yahoo.com,Aktif
Sutrisno,Permata,"Pondok Bandung Kota Bambu Utara, Jl. Kota Bambu Utara I, RT.3/RW.2, Kota Bambu Utara, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",Palmerah,Kota Bambu Utara,Permata@gmail.com,Aktif
Saleh Usman,Mawar,"Jl. Kota Bambu Raya No.8, Jl. Kota Bambu Raya No.8, Kota Bambu Sel., Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",Palmerah,Kota Bambu Utara,Mawar@yahoo.com,Aktif
Uki Elianto,KBU jaya,"Kota Bambu Utara, Kota Bambu Utara, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Palmerah,Kota Bambu Utara,KbuJaya@gmail.com,Aktif
Firmansyah,Bidara,"Jalan Kota Bambu Utara III, Jl. Kota Bambu Utara III, Kota Bambu Utara, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",Palmerah,Kota Bambu Utara,Bidara@yahoo.com,Aktif
Candra,Anggrek,"Jalan Kota Bambu Utara II, Jl. Kota Bambu Utara II, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",Palmerah,Kota Bambu Utara,Anggrek@gmail.com,Aktif
Widya,JP 01,"Jalan Turi, Jl. Turi, Jatipulo, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11430, Indonesia",Palmerah,Jati Pulo,Jp01@gmail.com,Aktif
Sutadi,Cendana,"Jalan Ks. Tubun IIIC, Jl. Ks. Tubun IIIC, Slipi, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410, Indonesia",Palmerah,Slipi,Cendana@yahoo.com,Aktif
Wahyu,Anggrek Rw 02,"Jalan Anggrek Garuda, Jl. Anggrek Garuda, Kemanggisan, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia",Palmerah,Kemanggisan,AnggrekRw02@gmail.com,Aktif
Budiono,Catelya,"Jalan Anggrek Neli Murni IIA, Jl. Anggrek Neli Murni IIA, Kemanggisan, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia",Palmerah,Kemanggisan,Catelya@yahoo.com,Aktif
Bpk. Muhasan,Bank Sampah Kusuma,"Jalan Kp. Gaga, Jalan Kp. Gaga, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850, Indonesia",Kalideres,Semanan,bs.kusuma11@gmail.com,Aktif
Dessi Rahmawati,Sasak Indah Rw.08,"Jalan Daud 1, Jl. Daud 1, Sukabumi Utara, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11540, Indonesia",Kb. Jeruk,Sukabumi Utara,bssasakindah@gmail.com,Aktif
Darmawati Hawahab,PKK Teratai Tegal Alur,"Tegal Alur, Tegal Alur, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kalideres,Tegal alur,darma1973wati@gmail.com,Aktif
Eko Nugroho,Bank Sampah 05,"6°09'25.9'S 106°47'58.6'E, Jl. Kali Anyar VI No.14-15, Kali Anyar, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11310, Indonesia",Tambora,Kalianyar,banksampahkaliayar05@gmail.com,Aktif
Bpk. Asep,Bank Sampah Seruni,"Semanan, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kalideres,Semanan,bs.seruni12345@gmail.com,Aktif
Bpk. Muhasan,Bank Sampah Ceri 36,"Jalan Semanan Raya, Jl. Semanan Raya, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850, Indonesia",Kalideres,Semanan,bs.ceri36@gmail.com,Aktif
Dwi Purnomo,Bina Sejahtera Utama,"Wijaya Kusuma, Wijaya Kusuma, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Grogol petamburan,Wijaya Kusuma,banksampah.wk007@gmail.com,Aktif
Siti Djuariah,RW. 08 Wijaya Kusuma,"Wijaya Kusuma, Wijaya Kusuma, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Grogol petamburan,Wijaya Kusuma,banksampah.wk08@gmail.com,Aktif
Lungid Sumadi,RW.09 Wijaya Kusuma,"Wijaya Kusuma, Wijaya Kusuma, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Grogol petamburan,Wijaya Kusuma,banksampah.wk09@gmail.com,Aktif
Masruchin,RW.010 Wijaya Kusuma,"Wijaya Kusuma, Wijaya Kusuma, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Grogol petamburan,Wijaya Kusuma,banksampah.wk010@gmail.com,Aktif
Pak Gunawan,Karya Mandiri,"Wijaya Kusuma, Wijaya Kusuma, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Grogol petamburan,Wijaya Kusuma,banksampah.wk03@gmail.com,Aktif
M. Basri,RW. 05 Wijaya Kusuma,"Wijaya Kusuma, Wijaya Kusuma, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Grogol petamburan,Wijaya Kusuma,banksampah.wk05@gmail.com,Aktif
Muhamad Arya Fama,Tawakal Kaya RW.09 Tomang,"Tawakal Jaya, Jl. Tawakal XI No.5, RT.8/RW.9, Tomang, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440, Indonesia",Grogol petamburan,Tomang,Tawakaljaya.09@gmail.com,Aktif
Lisna Tuti Sp. D,Babedul,"6°09'22.3'S 106°47'54.4'E, Jl. Kalianyar No.15, Kali Anyar, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11310, Indonesia",Tambora,Kalianyar,babedulbanksampah@gmail.com,Aktif
Tota Debora Tambunan,Murai Medan,"Tambora, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Tambora,muraimedanbanksampah@gmail.com,Aktif
"Reik Hasyim Harahap, SE",Tansera Jaya,"Jalan Tanah Sereal XVIII, Jl. Tanah Sereal XVIII, Tanah Sereal, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11210, Indonesia",Tambora,Tanah Sereal,tanahserealbanksampah@gmail.com,Aktif
Chairul Anwar,Bank Sampah 02,"Jembatan Lima, Jemb. Lima, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Jembatan Lima,012.jembatanlima.jb@gmail.com,Aktif
Zainal,Jembatan Lima Jaya,"Jalan Stasiun Angke, Jl. Stasiun Angke, Jemb. Lima, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11250, Indonesia",Tambora,Jembatan Lima,jembatanlimabanksampah@gmail.com,Aktif
Ahmad Riyanto,Bank Sampah rw 03,"Jalan Angke Jaya 9, Jl. Angke Jaya 9, Angke, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11330, Indonesia",Tambora,Angke,angke.rw03.jb@gmail.com,Aktif
Herwanto,rw 01,"Jl. Kali Anyar RT. 012/01, Kali Anyar, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11310, Indonesia",Tambora,Kalianyar,banksampahkalianyar001@gmail.com,Aktif
Suwandi,rw 02,"Jl. Kalianyar RT. 007/02, Kali Anyar, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11310, Indonesia",Tambora,Kalianyar,banksampahkalianyar02@gmail.com,Aktif
Agus Sukandi,rw 03,"Jl. Kalianyar RT. 007/03, Kali Anyar, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11310, Indonesia",Tambora,Kalianyar,banksampahkalianyar03@gmail.com,Aktif
Slamet,rw 04,"Jl. Kalianyar RT.004/04 Kali Anyar, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11310, Indonesia",Tambora,Kalianyar,banksampahkalianyar04@gmail.com,Aktif
Suminto,rw 06,"Jl. Kali Anyar RT.010/06, Kali Anyar, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Kalianyar,banksampahkalianyar06@gmail.com,Aktif
Tura,Ciliber,"Gang Amirul Mu'minin, Gg. Amirul Mu'minin, Kedoya Sel., Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520, Indonesia",Kb. Jeruk,Kedoya Selatan,bsciliberkedosel@gmail.com,Aktif
Ibrahim,rw 07,"Jl. Kali Anyar RT. 004/07, Kali Anyar, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Kalianyar,banksampahkalianyar07@gmail.com,Aktif
H. Sugi,rw 08,"Jl. Kali Anyar RT.012/08, Kali Anyar, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Kalianyar,banksampahkalianyar08@gmail.com,Aktif
Teguh,rw 09,"JL. Kali Anyar RT. 001/09, Kali Anyar, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Kalianyar,banksampahkalianyar09@gmail.com,Aktif
Bu Chusnul,2890 Rw.02 Wijaya Kusuma,",",,Wijaya Kusuma,banksampah.wk02@gmail.com,Aktif
Bpk. Wahyu,Bank Sampah Bhinneka,"Semanan, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kalideres,Semanan,bs.bhinneka10@gmail.com,Aktif
Bpk. Heri,Bank Sampah Kenanga,"Jalan Kamal Raya, Jl. Kamal Raya, Cengkareng Tim., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",Cengkareng,Kamal,bs.kenanga10@gmail.com,Aktif
Bpk. Mas'ud,Bank Sampah Delima,"Jalan Kamal Raya, Jl. Kamal Raya, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Jl. Kamal Raya,Kamal,bs.delima10@gmail.com,Aktif
Bpk. H. Syaiful Anwar,Bank Sampah Beringin,"Kamal, Kamal, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kalideres,Kamal,bs.beringin10@gmail.com,Aktif
Pak Samsudin,Seruni01 Tanjung Duren Selatan,"Tanjung Duren Selatan, Tj. Duren Sel., Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Grogol petamburan,Tanjung Duren Selatan,seruni01tds@gmail.com,Pending
Pak Sunaryo,Resik Mandiri,"Tanjung Duren Selatan, Tj. Duren Sel., Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Grogol petamburan,Tanjung Duren Selatan,banksampahresikmandiri@gmail.com,Pending
Supendi,Bank Sampah Mawar 11,"SDN Mangga Besar 11 Pg, RT.2/RW.3, Mangga Besar, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11180, Indonesia",Tamansari,Mangga Besar,banksampahmawarmb11@gmail.com,Aktif
OSIS,SMPN 45,"SMP Negeri 45 Jakarta Barat, Jl. Utama Raya No.45, RT.9/RW.2, Cengkareng Bar., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",Cengkareng,Cengkareng Barat,smpn45cengkarengbarat@gmail.com,Aktif
OSIS,SMAN33,"Sekolah Menengah Atas Negeri 33 Jakarta Barat, Jl. Utama I No.54, RT.6/RW.3, Cengkareng Bar., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",Cengkareng,Cengkareng Barat,sman33cengkareng33@gmail.com,Aktif
Subeki,SDN 11 Kebon Jeruk,"SDN Kebon Jeruk 11 Pagi, Jl. Kb. Jeruk Raya, RT.3/RW.2, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia",Kb. Jeruk,Kebon Jeruk,bs.sdn11kebonjeruk@gmail.com,Aktif
Indra jati Fabiansyah,Bank Sampah SMPN 89 Jaya,"Sekolah Menengah Pertama Negeri 89 Jakarta, Jl. Tanjung Duren Barat IV, RT.6/RW.5, Tj. Duren Utara, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",Grogol petamburan,Tanjung Duren Utara,banksampah.89jaya@gmail.com,Aktif
Sugiarto,SMPN 220,"SMPN 220, RT.8/RW.8, Duri Kepa, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510, Indonesia",Kb. Jeruk,Duri Kepa,smpn220durikepa@yahoo.com,Aktif
Rusganda,TK Bhakti,"Jalan Sakti, Jl. Sakti, Kemanggisan, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia",Palmerah,Kemanggisan,Tkbhakti99@gmail.com,Aktif
Tuti,SMP 207,"SMP Negeri 207, Jalan Meruya Utara, RT.7/RW.2, Srengseng, Kembangan, RT.7/RW.2, Srengseng, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11630, Indonesia",Kembangan,Srengseng,bs.smp207@gmail.com,Aktif
