Column Name (CSV),Wikidata Property (id),Wikidata Property (label),Data Type,Table Name,url
jenjang sekolah,P31,adalah,WikibaseItem,data-sekolah-2018.csv,http://data.jakarta.go.id/dataset/data-alamat-sekolah
jumlah guru, P1128,jumlah pegawai,Quantity,data-sekolah-2018.csv,http://data.jakarta.go.id/dataset/data-alamat-sekolah
jumlah murid, P2196,jumlah mahasiswa,Quantity,data-sekolah-2018.csv,http://data.jakarta.go.id/dataset/data-alamat-sekolah
kecamatan, P131,terletak di wilayah administrasi,WikibaseItem,data-sekolah-2018.csv,http://data.jakarta.go.id/dataset/data-alamat-sekolah
kecamatan, P131,terletak di wilayah administrasi,WikibaseItem,data-sekolah-2018.csv,http://data.jakarta.go.id/dataset/data-alamat-sekolah
kelurahan, P131,terletak di wilayah administrasi,WikibaseItem,data-sekolah-2018.csv,http://data.jakarta.go.id/dataset/data-alamat-sekolah
kelurahan, P131,terletak di wilayah administrasi,WikibaseItem,data-sekolah-2018.csv,http://data.jakarta.go.id/dataset/data-alamat-sekolah
alamat sekolah, P6375,alamat,String,data-sekolah-antapani-tahun-2018.csv,http://data.bandung.go.id/dataset/7076d689-28ba-4646-9f27-c1d1403d1c09/resource/dcccc2ae-c697-4113-a7e8-1111c2b531ac/download/data-media-online-peliput-kegiatan-pemkot-bandung-2017.csv
jenjang sekolah,P31,adalah,WikibaseItem,data-sekolah-antapani-tahun-2018.csv,http://data.bandung.go.id/dataset/7076d689-28ba-4646-9f27-c1d1403d1c09/resource/dcccc2ae-c697-4113-a7e8-1111c2b531ac/download/data-media-online-peliput-kegiatan-pemkot-bandung-2017.csv
jumlah guru, P1128,jumlah pegawai,Quantity,data-sekolah-antapani-tahun-2018.csv,http://data.bandung.go.id/dataset/7076d689-28ba-4646-9f27-c1d1403d1c09/resource/dcccc2ae-c697-4113-a7e8-1111c2b531ac/download/data-media-online-peliput-kegiatan-pemkot-bandung-2017.csv
jumlah murid, P2196,jumlah mahasiswa,Quantity,data-sekolah-antapani-tahun-2018.csv,http://data.bandung.go.id/dataset/7076d689-28ba-4646-9f27-c1d1403d1c09/resource/dcccc2ae-c697-4113-a7e8-1111c2b531ac/download/data-media-online-peliput-kegiatan-pemkot-bandung-2017.csv
kecamatan, P131,terletak di wilayah administrasi,WikibaseItem,data-sekolah-antapani-tahun-2018.csv,http://data.bandung.go.id/dataset/7076d689-28ba-4646-9f27-c1d1403d1c09/resource/dcccc2ae-c697-4113-a7e8-1111c2b531ac/download/data-media-online-peliput-kegiatan-pemkot-bandung-2017.csv
kelurahan, P131,terletak di wilayah administrasi,WikibaseItem,data-sekolah-antapani-tahun-2018.csv,http://data.bandung.go.id/dataset/7076d689-28ba-4646-9f27-c1d1403d1c09/resource/dcccc2ae-c697-4113-a7e8-1111c2b531ac/download/data-media-online-peliput-kegiatan-pemkot-bandung-2017.csv
alamat sekolah, P6375,alamat,String,data-sekolah-di-kecamatan-cinambo.csv,https://data.go.id/dataset/sekolah-di-kecamatan-cinambo-kota-bandung/resource/6a8a09b9-5d12-4083-9950-54fbc76effa4
jenjang sekolah,P31,adalah,WikibaseItem,data-sekolah-di-kecamatan-cinambo.csv,https://data.go.id/dataset/sekolah-di-kecamatan-cinambo-kota-bandung/resource/6a8a09b9-5d12-4083-9950-54fbc76effa4
jumlah murid, P2196,jumlah mahasiswa,Quantity,data-sekolah-di-kecamatan-cinambo.csv,https://data.go.id/dataset/sekolah-di-kecamatan-cinambo-kota-bandung/resource/6a8a09b9-5d12-4083-9950-54fbc76effa4
jumlah murid, P2196,jumlah mahasiswa,Quantity,data-sekolah-di-kecamatan-cinambo.csv,https://data.go.id/dataset/sekolah-di-kecamatan-cinambo-kota-bandung/resource/6a8a09b9-5d12-4083-9950-54fbc76effa4
kecamatan, P131,terletak di wilayah administrasi,WikibaseItem,data-sekolah-di-kecamatan-cinambo.csv,https://data.go.id/dataset/sekolah-di-kecamatan-cinambo-kota-bandung/resource/6a8a09b9-5d12-4083-9950-54fbc76effa4
kelurahan, P131,terletak di wilayah administrasi,WikibaseItem,data-sekolah-di-kecamatan-cinambo.csv,https://data.go.id/dataset/sekolah-di-kecamatan-cinambo-kota-bandung/resource/6a8a09b9-5d12-4083-9950-54fbc76effa4
alamat sekolah, P6375,alamat,String,data-sekolah-kec.-sukajadi-2017.csv,https://data.bandung.go.id
jenjang sekolah,P31,adalah,WikibaseItem,data-sekolah-kec.-sukajadi-2017.csv,https://data.bandung.go.id
kecamatan, P131,terletak di wilayah administrasi,WikibaseItem,data-sekolah-kec.-sukajadi-2017.csv,https://data.bandung.go.id
kelurahan, P131,terletak di wilayah administrasi,WikibaseItem,data-sekolah-kec.-sukajadi-2017.csv,https://data.bandung.go.id
akreditasi, ,,String,Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/eeabea3c-578e-49bd-bfe8-1d8c0b8f05bb/download/Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv
alamat, P6375,alamat,String,Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/eeabea3c-578e-49bd-bfe8-1d8c0b8f05bb/download/Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv
jumlah guru, P1128,jumlah pegawai,Quantity,Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/eeabea3c-578e-49bd-bfe8-1d8c0b8f05bb/download/Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv
jumlah siswa, P2196,jumlah mahasiswa,Quantity,Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/eeabea3c-578e-49bd-bfe8-1d8c0b8f05bb/download/Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv
kepala sekolah, P488,dipimpin oleh,WikibaseItem,Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/eeabea3c-578e-49bd-bfe8-1d8c0b8f05bb/download/Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv
kondisi lingkungan, ,,String,Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/eeabea3c-578e-49bd-bfe8-1d8c0b8f05bb/download/Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv
npsn, P4128,NPSN,String,Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/eeabea3c-578e-49bd-bfe8-1d8c0b8f05bb/download/Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv
telepon, P1329,nomor telepon,String,Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/eeabea3c-578e-49bd-bfe8-1d8c0b8f05bb/download/Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv
akreditasi, ,,String,Data-Sekolah-Menengah-Kejuruan-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/0d79f976-cf0b-425e-afdf-2865b0118cd1/download/Data-Sekolah-Menengah-Kejuruan-Provinsi-DKI-Jakarta.csv
alamat, P6375,alamat,String,Data-Sekolah-Menengah-Kejuruan-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/0d79f976-cf0b-425e-afdf-2865b0118cd1/download/Data-Sekolah-Menengah-Kejuruan-Provinsi-DKI-Jakarta.csv
jumlah guru, P1128,jumlah pegawai,Quantity,Data-Sekolah-Menengah-Kejuruan-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/0d79f976-cf0b-425e-afdf-2865b0118cd1/download/Data-Sekolah-Menengah-Kejuruan-Provinsi-DKI-Jakarta.csv
jumlah siswa, P2196,jumlah mahasiswa,Quantity,Data-Sekolah-Menengah-Kejuruan-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/0d79f976-cf0b-425e-afdf-2865b0118cd1/download/Data-Sekolah-Menengah-Kejuruan-Provinsi-DKI-Jakarta.csv
kepala sekolah, P488,dipimpin oleh,WikibaseItem,Data-Sekolah-Menengah-Kejuruan-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/0d79f976-cf0b-425e-afdf-2865b0118cd1/download/Data-Sekolah-Menengah-Kejuruan-Provinsi-DKI-Jakarta.csv
kondisi lingkungan, ,,String,Data-Sekolah-Menengah-Kejuruan-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/0d79f976-cf0b-425e-afdf-2865b0118cd1/download/Data-Sekolah-Menengah-Kejuruan-Provinsi-DKI-Jakarta.csv
npsn, P4128,NPSN,String,Data-Sekolah-Menengah-Kejuruan-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/0d79f976-cf0b-425e-afdf-2865b0118cd1/download/Data-Sekolah-Menengah-Kejuruan-Provinsi-DKI-Jakarta.csv
telepon, P1329,nomor telepon,String,Data-Sekolah-Menengah-Kejuruan-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/0d79f976-cf0b-425e-afdf-2865b0118cd1/download/Data-Sekolah-Menengah-Kejuruan-Provinsi-DKI-Jakarta.csv
akreditasi, ,,String,Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/440f8bb3-b905-4944-afcd-e5880c0bd80a/download/Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv
alamat, P6375,alamat,String,Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/440f8bb3-b905-4944-afcd-e5880c0bd80a/download/Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv
jumlah guru, P1128,jumlah pegawai,Quantity,Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/440f8bb3-b905-4944-afcd-e5880c0bd80a/download/Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv
jumlah siswa, P2196,jumlah mahasiswa,Quantity,Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/440f8bb3-b905-4944-afcd-e5880c0bd80a/download/Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv
kepala sekolah, P488,dipimpin oleh,WikibaseItem,Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/440f8bb3-b905-4944-afcd-e5880c0bd80a/download/Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv
kondisi lingkungan, ,,String,Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/440f8bb3-b905-4944-afcd-e5880c0bd80a/download/Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv
npsn, P4128,NPSN,String,Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/440f8bb3-b905-4944-afcd-e5880c0bd80a/download/Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv
telepon, P1329,nomor telepon,String,Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/440f8bb3-b905-4944-afcd-e5880c0bd80a/download/Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv
alamat jalan, P6375,alamat,String,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.jakarta.go.id
bentuk pendidikan, ,,Quantity,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.jakarta.go.id
desa kelurahan, P131,terletak di wilayah administrasi,WikibaseItem,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.jakarta.go.id
email, P968,surel,Url,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.jakarta.go.id
kode pos, P281,kode pos,String,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.jakarta.go.id
kode wilayah, ,,String,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.jakarta.go.id
latitude, P625,koordinat tempat,GlobeCoordinate,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.jakarta.go.id
longitude, P625,koordinat tempat,GlobeCoordinate,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.jakarta.go.id
nomor fax, P2900,nomor faks,String,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.jakarta.go.id
nomor telepon, P1329,nomor telepon,String,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.jakarta.go.id
npsn, P4128,NPSN,String,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.jakarta.go.id
status sek, ,,Quantity,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.jakarta.go.id
website, P856,laman resmi,Url,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.jakarta.go.id
jenis taman,P31,adalah,WikibaseItem,Data-Taman-Interaktif-di-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/5ade4090-39e1-450a-80e4-f663d78a3a7d/resource/7e931e61-1429-46cf-9fcb-3ba38f8976ee/download/Data-Taman-Interaktif-di-Provinsi-DKI-Jakarta.csv
kecamatan, P131,terletak di wilayah administrasi,WikibaseItem,Data-Taman-Interaktif-di-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/5ade4090-39e1-450a-80e4-f663d78a3a7d/resource/7e931e61-1429-46cf-9fcb-3ba38f8976ee/download/Data-Taman-Interaktif-di-Provinsi-DKI-Jakarta.csv
kelurahan, P131,terletak di wilayah administrasi,WikibaseItem,Data-Taman-Interaktif-di-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/5ade4090-39e1-450a-80e4-f663d78a3a7d/resource/7e931e61-1429-46cf-9fcb-3ba38f8976ee/download/Data-Taman-Interaktif-di-Provinsi-DKI-Jakarta.csv
kodifikasi, ,,String,Data-Taman-Interaktif-di-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/5ade4090-39e1-450a-80e4-f663d78a3a7d/resource/7e931e61-1429-46cf-9fcb-3ba38f8976ee/download/Data-Taman-Interaktif-di-Provinsi-DKI-Jakarta.csv
kota administrasi, P131,terletak di wilayah administrasi,WikibaseItem,Data-Taman-Interaktif-di-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/5ade4090-39e1-450a-80e4-f663d78a3a7d/resource/7e931e61-1429-46cf-9fcb-3ba38f8976ee/download/Data-Taman-Interaktif-di-Provinsi-DKI-Jakarta.csv
lokasi taman, P6375,alamat,String,Data-Taman-Interaktif-di-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/5ade4090-39e1-450a-80e4-f663d78a3a7d/resource/7e931e61-1429-46cf-9fcb-3ba38f8976ee/download/Data-Taman-Interaktif-di-Provinsi-DKI-Jakarta.csv
luas taman, P2046,luas wilayah,Quantity,Data-Taman-Interaktif-di-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/5ade4090-39e1-450a-80e4-f663d78a3a7d/resource/7e931e61-1429-46cf-9fcb-3ba38f8976ee/download/Data-Taman-Interaktif-di-Provinsi-DKI-Jakarta.csv
nama taman, P1448,nama,String,Data-Taman-Interaktif-di-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/5ade4090-39e1-450a-80e4-f663d78a3a7d/resource/7e931e61-1429-46cf-9fcb-3ba38f8976ee/download/Data-Taman-Interaktif-di-Provinsi-DKI-Jakarta.csv
kelurahan, P131,terletak di wilayah administrasi,WikibaseItem,data-taman-kec.arcamanik-2016.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/710/b74/data-taman-kec.arcamanik-2016.csv
lokasi, P6375,alamat,String,data-taman-kec.arcamanik-2016.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/710/b74/data-taman-kec.arcamanik-2016.csv
ket, ,,String,data-tanah-kosong-sarana-olahraga-dan-taman-kec.rancasari-2014.csv,data-tanah-kosong-sarana-olahraga-dan-taman-kec.rancasari-2014.csv
luas (m2), P2046,luas wilayah,Quantity,data-tanah-kosong-sarana-olahraga-dan-taman-kec.rancasari-2014.csv,data-tanah-kosong-sarana-olahraga-dan-taman-kec.rancasari-2014.csv
penggunaan, ,,WikibaseItem,data-tanah-kosong-sarana-olahraga-dan-taman-kec.rancasari-2014.csv,data-tanah-kosong-sarana-olahraga-dan-taman-kec.rancasari-2014.csv
alamat, P6375,alamat,String,Data-Tempat-Pelelangan-Ikan-DKI-Jakarta-Tahun-2017.csv,http://data.jakarta.go.id/dataset/dea9bd4f-57e7-47fa-87db-ed6c99a90ca7/resource/a87f1a6c-3b56-479b-b8e7-ab083e179a8c/download/Data-Tempat-Pelelangan-Ikan-DKI-Jakarta-Tahun-2017.csv
fasilitas, P912,mempunyai fasilitas,WikibaseItem,Data-Tempat-Pelelangan-Ikan-DKI-Jakarta-Tahun-2017.csv,http://data.jakarta.go.id/dataset/dea9bd4f-57e7-47fa-87db-ed6c99a90ca7/resource/a87f1a6c-3b56-479b-b8e7-ab083e179a8c/download/Data-Tempat-Pelelangan-Ikan-DKI-Jakarta-Tahun-2017.csv
jenis, ,adalah,WikibaseItem,Data-Tempat-Pelelangan-Ikan-DKI-Jakarta-Tahun-2017.csv,http://data.jakarta.go.id/dataset/dea9bd4f-57e7-47fa-87db-ed6c99a90ca7/resource/a87f1a6c-3b56-479b-b8e7-ab083e179a8c/download/Data-Tempat-Pelelangan-Ikan-DKI-Jakarta-Tahun-2017.csv
kecamatan, P131,terletak di wilayah administrasi,WikibaseItem,Data-Tempat-Pelelangan-Ikan-DKI-Jakarta-Tahun-2017.csv,http://data.jakarta.go.id/dataset/dea9bd4f-57e7-47fa-87db-ed6c99a90ca7/resource/a87f1a6c-3b56-479b-b8e7-ab083e179a8c/download/Data-Tempat-Pelelangan-Ikan-DKI-Jakarta-Tahun-2017.csv
kelurahan, P131,terletak di wilayah administrasi,WikibaseItem,Data-Tempat-Pelelangan-Ikan-DKI-Jakarta-Tahun-2017.csv,http://data.jakarta.go.id/dataset/dea9bd4f-57e7-47fa-87db-ed6c99a90ca7/resource/a87f1a6c-3b56-479b-b8e7-ab083e179a8c/download/Data-Tempat-Pelelangan-Ikan-DKI-Jakarta-Tahun-2017.csv
latitude, P625,koordinat tempat,GlobeCoordinate,Data-Tempat-Pelelangan-Ikan-DKI-Jakarta-Tahun-2017.csv,http://data.jakarta.go.id/dataset/dea9bd4f-57e7-47fa-87db-ed6c99a90ca7/resource/a87f1a6c-3b56-479b-b8e7-ab083e179a8c/download/Data-Tempat-Pelelangan-Ikan-DKI-Jakarta-Tahun-2017.csv
longitude, P625,koordinat tempat,GlobeCoordinate,Data-Tempat-Pelelangan-Ikan-DKI-Jakarta-Tahun-2017.csv,http://data.jakarta.go.id/dataset/dea9bd4f-57e7-47fa-87db-ed6c99a90ca7/resource/a87f1a6c-3b56-479b-b8e7-ab083e179a8c/download/Data-Tempat-Pelelangan-Ikan-DKI-Jakarta-Tahun-2017.csv
wilayah, P131,terletak di wilayah administrasi,WikibaseItem,Data-Tempat-Pelelangan-Ikan-DKI-Jakarta-Tahun-2017.csv,http://data.jakarta.go.id/dataset/dea9bd4f-57e7-47fa-87db-ed6c99a90ca7/resource/a87f1a6c-3b56-479b-b8e7-ab083e179a8c/download/Data-Tempat-Pelelangan-Ikan-DKI-Jakarta-Tahun-2017.csv
alamat, P6375,alamat,String,data-tk-2017.csv,data.go.id
jumlah guru, P1128,jumlah pegawai,Quantity,data-tk-2017.csv,data.go.id
jumlah murid, P2196,jumlah mahasiswa,Quantity,data-tk-2017.csv,data.go.id
kelurahan, P131,terletak di wilayah administrasi,WikibaseItem,data-tk-2017.csv,data.go.id
nama kepala sekolah, P488,dipimpin oleh,WikibaseItem,data-tk-2017.csv,data.go.id
keterangan, ,,String,Data-Waduk-2018.csv,http://data.jakarta.go.id/apps/download/data/Data-Waduk-2018.csv
latitude, P625, koordinat tempat,GlobeCoordinate,Data-Waduk-2018.csv,http://data.jakarta.go.id/apps/download/data/Data-Waduk-2018.csv
longitude, P625, koordinat tempat,GlobeCoordinate,Data-Waduk-2018.csv,http://data.jakarta.go.id/apps/download/data/Data-Waduk-2018.csv
luas badan air, ,,Quantity,Data-Waduk-2018.csv,http://data.jakarta.go.id/apps/download/data/Data-Waduk-2018.csv
luas existing(ha), P2046,luas wilayah,Quantity,Data-Waduk-2018.csv,http://data.jakarta.go.id/apps/download/data/Data-Waduk-2018.csv
luas rencana(ha), P2046,luas wilayah,Quantity,Data-Waduk-2018.csv,http://data.jakarta.go.id/apps/download/data/Data-Waduk-2018.csv
nama bidang, ,adalah,WikibaseItem,Data-Waduk-2018.csv,http://data.jakarta.go.id/apps/download/data/Data-Waduk-2018.csv
nama wilayah, P131,terletak di wilayah administrasi,WikibaseItem,Data-Waduk-2018.csv,http://data.jakarta.go.id/apps/download/data/Data-Waduk-2018.csv
kepadatan (jiwa/km2), P1082,jumlah penduduk,Quantity,dkikepadatankelurahan2013.csv,http://data.jakarta.go.id/dataset/7f89597f-d3d8-49eb-9c80-f493f52167f7/resource/a749a19e-6279-4201-990b-58f1c2e98a29/download/dkikepadatankelurahan2013.csv
luas wilayah, P2046,luas wilayah,Quantity,dkikepadatankelurahan2013.csv,http://data.jakarta.go.id/dataset/7f89597f-d3d8-49eb-9c80-f493f52167f7/resource/a749a19e-6279-4201-990b-58f1c2e98a29/download/dkikepadatankelurahan2013.csv
nama kabupaten, P131,terletak di wilayah administrasi,WikibaseItem,dkikepadatankelurahan2013.csv,http://data.jakarta.go.id/dataset/7f89597f-d3d8-49eb-9c80-f493f52167f7/resource/a749a19e-6279-4201-990b-58f1c2e98a29/download/dkikepadatankelurahan2013.csv
nama kecamatan, P131,terletak di wilayah administrasi,WikibaseItem,dkikepadatankelurahan2013.csv,http://data.jakarta.go.id/dataset/7f89597f-d3d8-49eb-9c80-f493f52167f7/resource/a749a19e-6279-4201-990b-58f1c2e98a29/download/dkikepadatankelurahan2013.csv
nama provinsi, P131,terletak di wilayah administrasi,WikibaseItem,dkikepadatankelurahan2013.csv,http://data.jakarta.go.id/dataset/7f89597f-d3d8-49eb-9c80-f493f52167f7/resource/a749a19e-6279-4201-990b-58f1c2e98a29/download/dkikepadatankelurahan2013.csv
tahun, P585,waktu,Time,dkikepadatankelurahan2013.csv,http://data.jakarta.go.id/dataset/7f89597f-d3d8-49eb-9c80-f493f52167f7/resource/a749a19e-6279-4201-990b-58f1c2e98a29/download/dkikepadatankelurahan2013.csv
keterangan, ,,String,Kegiatan-Pemberdayaan-Masyarakat-Di-DKI-Jakarta-Tahun-2010.csv,http://data.jakarta.go.id/dataset/268f7f88-04d0-433f-b7fc-6f1db067d1a9/resource/5da016a3-8a7f-4d90-b073-1bfa1e5c7d23/download/Kegiatan-Pemberdayaan-Masyarakat-Di-DKI-Jakarta-Tahun-2010.csv
lokasi, P131,terletak di wilayah administrasi,WikibaseItem,Kegiatan-Pemberdayaan-Masyarakat-Di-DKI-Jakarta-Tahun-2010.csv,http://data.jakarta.go.id/dataset/268f7f88-04d0-433f-b7fc-6f1db067d1a9/resource/5da016a3-8a7f-4d90-b073-1bfa1e5c7d23/download/Kegiatan-Pemberdayaan-Masyarakat-Di-DKI-Jakarta-Tahun-2010.csv
waktu, P585,waktu,Time,Kegiatan-Pemberdayaan-Masyarakat-Di-DKI-Jakarta-Tahun-2010.csv,http://data.jakarta.go.id/dataset/268f7f88-04d0-433f-b7fc-6f1db067d1a9/resource/5da016a3-8a7f-4d90-b073-1bfa1e5c7d23/download/Kegiatan-Pemberdayaan-Masyarakat-Di-DKI-Jakarta-Tahun-2010.csv
tanggal, P585,waktu,Time,Kegiatan-Promosi-DKI-Jakarta-tahun-2010-csv,Kegiatan-Promosi-DKI-Jakarta-tahun-2010-csv
tempat, P131,terletak di wilayah administrasi,WikibaseItem,Kegiatan-Promosi-DKI-Jakarta-tahun-2010-csv,Kegiatan-Promosi-DKI-Jakarta-tahun-2010-csv
alamat, P6375,alamat,String,PENERIMA-BANSOS-DAN-HIBAH-ANGGARAN-2016-edited.csv,http://data.jakarta.go.id/dataset/d6bae167-e804-4dd4-a42f-a6cff1e7a0b0/resource/14690ae1-6c62-4953-905d-b6014bf36cfb/download/PENERIMA-BANSOS-DAN-HIBAH-ANGGARAN-2016-edited.csv
jumlah bantuan, ,,Quantity,PENERIMA-BANSOS-DAN-HIBAH-ANGGARAN-2016-edited.csv,http://data.jakarta.go.id/dataset/d6bae167-e804-4dd4-a42f-a6cff1e7a0b0/resource/14690ae1-6c62-4953-905d-b6014bf36cfb/download/PENERIMA-BANSOS-DAN-HIBAH-ANGGARAN-2016-edited.csv
kecamatan, P131,terletak di wilayah administrasi,WikibaseItem,PENERIMA-BANSOS-DAN-HIBAH-ANGGARAN-2016-edited.csv,http://data.jakarta.go.id/dataset/d6bae167-e804-4dd4-a42f-a6cff1e7a0b0/resource/14690ae1-6c62-4953-905d-b6014bf36cfb/download/PENERIMA-BANSOS-DAN-HIBAH-ANGGARAN-2016-edited.csv
kelurahan, P131,terletak di wilayah administrasi,WikibaseItem,PENERIMA-BANSOS-DAN-HIBAH-ANGGARAN-2016-edited.csv,http://data.jakarta.go.id/dataset/d6bae167-e804-4dd4-a42f-a6cff1e7a0b0/resource/14690ae1-6c62-4953-905d-b6014bf36cfb/download/PENERIMA-BANSOS-DAN-HIBAH-ANGGARAN-2016-edited.csv
ket, ,,String,PENERIMA-BANSOS-DAN-HIBAH-ANGGARAN-2016-edited.csv,http://data.jakarta.go.id/dataset/d6bae167-e804-4dd4-a42f-a6cff1e7a0b0/resource/14690ae1-6c62-4953-905d-b6014bf36cfb/download/PENERIMA-BANSOS-DAN-HIBAH-ANGGARAN-2016-edited.csv
